index,name,party
1,Абдылдаев Мыктыбек Юсупович,Парламентская фракция «Бир Бол»
2,Абжалиев Алиярбек Токобекович,Парламентская фракция «Республика - Ата Журт»
3,Айдаров Салайдин Абдираевич,Парламентская фракция «Кыргызстан»
4,Айнакулов Мухтарбек Айнакулович,Парламентская фракция СДПК
5,Акаев  Жанарбек Кубанычович,Парламентская фракция СДПК
6,Акматов Алмасбек Жумабекович,Парламентская фракция «Бир Бол»
7,Алимбеков Нурбек Каарыевич,Парламентская фракция «Кыргызстан»
8,Алтыбаева Айнуру Тойчиевна,Парламентская фракция СДПК
9,Алтынбеков Айбек,Парламентская фракция «Республика - Ата Журт»
10,Аманкулов Марат Аскерович,Парламентская фракция СДПК
11,Арапбаев Азамат Абдуллажанович,Парламентская фракция СДПК
12,Артыкбаев Осмонбек Мамбетжанович,Парламентская фракция СДПК
13,Артыков Анвар Артыкович,Парламентская фракция СДПК
14,Асылбаева Гүлшат Кадыровна,Парламентская фракция «Онугуу-Прогресс»
15,Асылбек уулу Дамирбек,Парламентская фракция «Кыргызстан»
16,Аттокуров Данияр Бексултанович,Парламентская фракция СДПК
17,Баатырбеков Алмазбек Баатырбекович,Парламентская фракция «Кыргызстан»
18,Байбакпаев Экмат Джурукпаевич,Парламентская фракция «Республика - Ата Журт»
19,Баймуратов Калдарбек Шакирович,Парламентская фракция «Республика - Ата Журт»
20,Бакиров Мирлан Исакбекович,Парламентская фракция «Онугуу-Прогресс»
21,Бакчиев Жаныбек Абдукапарович,Парламентская фракция «Бир Бол»
22,Бекешев Дастан Далабайевич,Парламентская фракция СДПК
23,Бокоев Кенжебек Сатымкулович,Парламентская фракция «Республика - Ата Журт»
24,Гайпкулов Искандер Төрөбаевич,Парламентская фракция «Ата Мекен»
25,Джумабеков Дастанбек Артисбекович,Парламентская фракция «Кыргызстан»
26,Джураев Сайдолимжон Маруфович,Парламентская фракция СДПК
27,Дюшалиев Абдыбек Кашымбекович,Парламентская фракция «Республика - Ата Журт»
28,Жамалдинов Зиядин Исламович,Парламентская фракция «Онугуу-Прогресс»
29,Жамангулов Акылбек Жекшенович,Парламентская фракция «Республика - Ата Журт»
30,Жапаров Акылбек Усенбекович,Парламентская фракция «Бир Бол»
31,Жеенчороев Мирлан Канатбекович,Парламентская фракция «Республика - Ата Журт»
32,Жетигенов Бакытбек Жеңишбекович,Парламентская фракция СДПК
33,Жолдошбаев Камчыбек Жолдошбаевич,Парламентская фракция «Онугуу-Прогресс»
34,Жумалиев Кубанычбек Мырзабекович,Парламентская фракция «Бир Бол»
35,Жунус уулу Адыл,Парламентская фракция «Республика - Ата Журт»
36,Жунус уулу Алтынбек,Парламентская фракция «Онугуу-Прогресс»
37,Жутанов Алмаз Токтоназарович,Парламентская фракция «Онугуу-Прогресс»
38,Жээнбеков Асылбек Шарипович,Парламентская фракция СДПК
39,Зулпукаров Төрөбай Закирович,Парламентская фракция СДПК
40,Зулушев Курманкул Токторалыевич,Парламентская фракция «Республика - Ата Журт»
41,Ибраимжанов Болотбек Сапарбаевич,Парламентская фракция «Республика - Ата Журт»
42,Икрамов Тазабек Икрамович,Парламентская фракция «Онугуу-Прогресс»
43,Иманалиев Каныбек Капашович,Парламентская фракция «Ата Мекен»
44,Иминов Фархат Ажмуханбетович,Парламентская фракция «Республика - Ата Журт»
45,Исаева Динара Шертаевна,Парламентская фракция «Республика - Ата Журт»
46,Исаев Канатбек Кедейканович,Парламентская фракция «Кыргызстан»
47,Исаков  Музаффар Ахматходжаевич,Парламентская фракция СДПК
48,Исмаилова Аида Жекшенбаевна,Парламентская фракция «Республика - Ата Журт»
49,Казакбаев Руслан Айтбаевич,Парламентская фракция «Республика - Ата Журт»
50,Карамушкина Ирина Юрьевна,Парламентская фракция СДПК
51,Карашев Аалы Азимович,Парламентская фракция СДПК
52,Каримов Нодирбек Тохтосинович,Парламентская фракция СДПК
53,Касымалиева  Аида Камчыбековна,Парламентская фракция СДПК
54,Керезбеков Канат Керезбекович,Парламентская фракция СДПК
55,Кодуранова Асель Союзбековна,Парламентская фракция СДПК
56,Конушбаев Тынчтыкбек Кадырбекович,Парламентская фракция «Кыргызстан»
57,Кулбараков Абтандил Илдузович,Парламентская фракция СДПК
58,Кыдыралиев Умбеталы Токторалиевич,Парламентская фракция «Республика - Ата Журт»
59,Мавлянова Махабат Эргешовна,Парламентская фракция «Республика - Ата Журт»
60,Мадеминов Мурадыл Ганыевич,Парламентская фракция СДПК
61,Макеев Нурланбек Кадыкеевич,Парламентская фракция «Кыргызстан»
62,Маматов Абдимуктар Маматович,Парламентская фракция «Ата Мекен»
63,Мамашова Айсулуу Турусбековна,Парламентская фракция «Ата Мекен»
64,Мамытов Талант Турдумаматович,Парламентская фракция «Республика - Ата Журт»
65,Маннанов Ильхом Абдукахарович,Парламентская фракция СДПК
66,Масабиров Талайбек Айтмаматович,Парламентская фракция «Кыргызстан»
67,Масалиев Исхак Абсаматович,Парламентская фракция «Онугуу-Прогресс»
68,Матраимов Искендер Исмаилович,Парламентская фракция СДПК
69,Молдобекова Гулкан Сакиновна,Парламентская фракция СДПК
70,Момбеков Рыскелди Чыныбекович,Парламентская фракция СДПК
71,Мусабекова Жылдыз Аманбековна,Парламентская фракция СДПК
72,Назаров Айтмамат Кошоевич,Парламентская фракция «Кыргызстан»
73,Никитенко Наталья Владимировна,Парламентская фракция «Ата Мекен»
74,Нурбаев Абдывахап Мамадрасулович,Парламентская фракция СДПК
75,Нурматов Кубанычбек Советович,Парламентская фракция «Кыргызстан»
76,Нышанов Сайдулла Канболотович,Парламентская фракция «Ата Мекен»
77,Омурбекова Алтынай Сейтбековна,Парламентская фракция «Республика - Ата Журт»
78,Өмүркулов Иса Шейшенкулович,Парламентская фракция СДПК
79,Ормонов Улугбек Зулпукарович,Парламентская фракция «Бир Бол»
80,Орозова Карамат Бабашевна,Парламентская фракция СДПК
81,Осмонова Айнура Шермаматовна,Парламентская фракция СДПК
82,Пирматов Исхак Айтбаевич,Парламентская фракция «Бир Бол»
83,Примов Улан Бердибаевич,Парламентская фракция СДПК
84,Райымкулов Бактыбек Кемелбекович,Парламентская фракция «Республика - Ата Журт»
85,Рысалиев Зарылбек Кылычбекович,Парламентская фракция «Республика - Ата Журт»
86,Рыспаев Кожобек Жайчыбекович,Парламентская фракция СДПК
87,Сабиров Максат Эсенович,Парламентская фракция «Республика - Ата Журт»
88,Салянова Аида Женишбековна,Парламентская фракция «Ата Мекен»
89,Самаев Урматбек Обозбекович,Парламентская фракция «Кыргызстан»
90,Самигуллина Альфия Эльдаровна,Парламентская фракция СДПК
91,Сарсейитов Исланбек Зайырбекович,Парламентская фракция «Кыргызстан»
92,Строкова Евгения Григорьевна,Парламентская фракция СДПК
93,Субанбеков Бакирдин Жамалович,Парламентская фракция «Бир Бол»
94,Сулайманов Алтынбек Турдубаевич,Парламентская фракция «Бир Бол»
95,Сулейманов Бахадыр Искакович,Парламентская фракция «Ата Мекен»
96,Султанов Абдыкапар Маданбекович,Парламентская фракция «Онугуу-Прогресс»
97,Сурабалдиева Эльвира Жыргалбековна,Парламентская фракция СДПК
98,Сыдыков Бактыбек Усенович,Парламентская фракция «Республика - Ата Журт»
99,Тиллаев Таабалды Гапырович,Парламентская фракция «Республика - Ата Журт»
100,Токторов Алмазбек Сатиевич,Парламентская фракция «Кыргызстан»
101,Токтошев Эмиль Токтакунович,Парламентская фракция «Ата Мекен»
102,Толонов Данияр Эрмекович,Парламентская фракция «Кыргызстан»
103,Төрөбаев Бакыт Эргешевич,Парламентская фракция «Онугуу-Прогресс»
104,Торокулов Дүйшөн Гуламкадырович,Парламентская фракция «Бир Бол»
105,Тулендыбаев Пархат Розымович,Парламентская фракция «Республика - Ата Журт»
106,Туманбаева Рада Мураталыевна,Парламентская фракция «Республика - Ата Журт»
107,Турсунбаев Азизбек Атакозуевич,Парламентская фракция «Кыргызстан»
108,Турсунбеков Чыныбай Акунович,Парламентская фракция СДПК
109,Турускулов Жыргалбек Куручбекович,Парламентская фракция «Республика - Ата Журт»
110,Узакбаев Абылкайыр Осмонбекович,Парламентская фракция «Онугуу-Прогресс»
111,Чудинов Игорь Витальевич,Парламентская фракция «Бир Бол»
112,Шадиев Аскарбек Алимбаевич,Парламентская фракция «Бир Бол»
113,Шайназаров Тынчтык Урайимович,Парламентская фракция «Онугуу-Прогресс»
114,Шарапов Закир Эшматович,Парламентская фракция «Республика - Ата Журт»
115,Шер-Нияз Садык,Парламентская фракция «Ата Мекен»
116,Шыкмаматов Алмамбет Насырканович,Парламентская фракция «Ата Мекен»
117,Эгембердиев Максатбек Бакирович,Парламентская фракция СДПК
118,Эргешов Алмазбек Манасбекович,Парламентская фракция «Кыргызстан»
119,Юсуров Абдумажит Лелезович,Парламентская фракция «Онугуу-Прогресс»
